0F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
2526.1	1.2	0.41	0.168	0	0	0
2526.2	1.2	0.41	0.168	0	0	0
2526.3	1.553	0.596	0.355	0.102	0.256	0.065
2526.4	1.1	0.308	0.095	0	0	0
2526.5	1.1	0.308	0.095	0	0	0
2526.6	1.1	0.308	0.095	0	0	0
2526.7	1.3	0.47	0.221	0	0	0
2526.8	1.25	0.444	0.197	0	0	0
2526.9	1.221	0.41	0.168	0.039	0.176	0.031
2527	1.15	0.366	0.134	0	0	0
2527.1	1.05	0.224	0.05	0	0	0
2527.2	1	0	0	0	0	0
2527.3	1.1	0.308	0.095	0	0	0
2527.4	1.1	0.308	0.095	0	0	0
2527.5	1.05	0.224	0.05	0	0	0
2527.6	1	0	0	0	0	0
